classification,year,period,period_desc,aggregate_level,is_leaf_code,trade_flow_code,trade_flow,reporter_code,reporter,reporter_iso,partner_code,partner,partner_iso,second_partner_code,second_partner,second_partner_iso,customs_proc_code,customs,mode_of_transport_code,mode_of_transport,commodity_code,commodity,qty_unit_code,qty_unit,alt_qty_unit_code,alt_qty_unit,qty,alt_qty,netweight_kg,gross_weight_kg,trade_value_usd,cif_trade_value_usd,fob_trade_value_usd,flag
H2,2006,2006,2006,0,0,1,Import,320,Guatemala,GTM,222,El Salvador,SLV,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,283636364,NA,NA,0
H2,2006,2006,2006,0,0,2,Export,320,Guatemala,GTM,222,El Salvador,SLV,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,489519575,NA,NA,0
H2,2006,2006,2006,0,0,1,Import,320,Guatemala,GTM,484,Mexico,MEX,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,868971539,NA,NA,0
H2,2006,2006,2006,0,0,2,Export,320,Guatemala,GTM,484,Mexico,MEX,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,174085850,NA,NA,0
H2,2006,2006,2006,0,0,1,Import,320,Guatemala,GTM,842,USA,USA,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,3698168680,NA,NA,0
H2,2006,2006,2006,0,0,2,Export,320,Guatemala,GTM,842,USA,USA,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,1004967351,NA,NA,0
H3,2007,2007,2007,0,0,1,Import,320,Guatemala,GTM,156,China,CHN,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,NA,NA,NA,NA,NA,NA,777876241,NA,NA,0
H3,2007,2007,2007,0,0,2,Export,320,Guatemala,GTM,156,China,CHN,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,NA,NA,NA,NA,NA,NA,58209706,NA,NA,0
H3,2007,2007,2007,0,0,1,Import,320,Guatemala,GTM,222,El Salvador,SLV,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,NA,NA,NA,NA,NA,NA,620817136,NA,NA,0
H3,2007,2007,2007,0,0,2,Export,320,Guatemala,GTM,222,El Salvador,SLV,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,NA,NA,NA,NA,NA,NA,841286751,NA,NA,0
H3,2007,2007,2007,0,0,1,Import,320,Guatemala,GTM,484,Mexico,MEX,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,NA,NA,NA,NA,NA,NA,1179593634,NA,NA,0
H3,2007,2007,2007,0,0,2,Export,320,Guatemala,GTM,484,Mexico,MEX,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,NA,NA,NA,NA,NA,NA,463724746,NA,NA,0
H3,2007,2007,2007,0,0,1,Import,320,Guatemala,GTM,842,USA,USA,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,NA,NA,NA,NA,NA,NA,4728229348,NA,NA,0
H3,2007,2007,2007,0,0,2,Export,320,Guatemala,GTM,842,USA,USA,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,NA,NA,NA,NA,NA,NA,2934363046,NA,NA,0
H3,2008,2008,2008,0,0,1,Import,320,Guatemala,GTM,156,China,CHN,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,NA,NA,NA,NA,NA,NA,840467517,NA,NA,0
